loading app run.py
loading app ryu.controller.ofp_handler
instantiating app run.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 10.233.75.9 10.233.102.137 42284 80
packet in 10.233.75.9 10.233.102.137 42284 80
packet in 10.233.75.9 10.233.102.137 42284 80
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.75.9 10.233.102.137 42284 80
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.2 10.1.0.4 6443 41955
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 51672
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.2 10.1.0.4 6443 39455
packet in 10.233.97.141 10.1.0.4 53 57596
packet in 10.1.0.3 10.1.0.4 179 47765
packet in 10.1.0.4 10.1.0.2 51672 6443
packet in 10.1.0.4 10.233.97.141 57596 53
packet in 10.1.0.2 10.1.0.3 6443 1676
packet in 10.1.0.3 10.1.0.2 43300 6443
packet in 10.1.0.2 10.1.0.3 6443 21541
packet in 10.1.0.2 10.1.0.4 6443 41955
